country,gb,days,price_usd,price_per_gb,unlimited
france,1,7,0.99,0.99,no
france,1,1,0.99,0.99,yes
france,0.5,1,0.5,1,no
france,1,3,1,1,no
france,1,7,1,1,no
france,1,1,1,1,no
france,1,1,1,1,no
france,1,1,1,1,yes
france,1,1,1,1,yes
france,1,1,1,1,yes
france,1,1,1.0014055435969027,1.001,no
france,1,1,1.0170525052156045,1.017,no
france,0.5,1,0.5202612000000001,1.041,no
france,0.5,1,0.5202612000000001,1.041,no
france,0.5,1,0.5241732142265039,1.048,no
france,1,1,1.07,1.07,no
france,0.5,1,0.54,1.08,no
france,0.5,1,0.5444908575385837,1.089,yes
france,1,1,1.11,1.11,no
france,1,1,1.12,1.12,no
france,1,1,1.13,1.13,no
france,15,30,17,1.133,no
france,1,3,1.156136,1.156,no
france,1,7,1.16,1.16,no
france,1,1,1.18,1.18,no
france,1,3,1.19,1.19,no
france,1,7,1.19,1.19,no
france,1,7,1.19,1.19,no
france,1,1,1.19,1.19,no
france,1,1,1.19,1.19,no
france,1,7,1.1946613545329534,1.195,no
france,20,14,23.99,1.2,no
france,0.5,1,0.6,1.2,no
france,1,3,1.2,1.2,no
france,1,1,1.2,1.2,no
france,1,10,1.2,1.2,no
france,1,15,1.2,1.2,no
france,1,1,1.2,1.2,no
france,0.5,1,0.6024080223200119,1.205,no
france,1,1,1.21,1.21,no
france,1,7,1.21,1.21,no
france,1,5,1.21,1.21,no
france,1,5,1.21,1.21,no
france,1,20,1.22,1.22,no
france,1,7,1.24,1.24,no
france,1,7,1.24,1.24,no
france,1,7,1.25,1.25,no
france,1,30,1.2601882400000002,1.26,no
france,1,7,1.27,1.27,no
france,1,7,1.2717496000000001,1.272,no
france,1,5,1.2830508527335316,1.283,no
france,1,1,1.29,1.29,no
france,1,1,1.2908743335428825,1.291,no
france,0.5,1,0.65,1.3,no
france,1,3,1.3,1.3,no
france,1,7,1.3,1.3,no
france,1,7,1.3,1.3,no
france,1,7,1.3,1.3,no
france,0.5,1,0.66,1.32,no
france,0.5,3,0.66,1.32,no
france,1,7,1.33,1.33,no
france,1,7,1.33,1.33,no
france,1,1,1.3378152183989873,1.338,no
france,1,5,1.34,1.34,no
france,0.5,3,0.68,1.36,no
france,1,7,1.36,1.36,no
france,1,1,1.38,1.38,no
france,1,7,1.3873632,1.387,no
france,1,5,1.39,1.39,no
france,1,7,1.39,1.39,no
france,1,1,1.39,1.39,no
france,0.5,5,0.7,1.4,no
france,0.5,30,0.7,1.4,no
france,0.5,1,0.7,1.4,no
france,1,5,1.4,1.4,no
france,1,30,1.4,1.4,no
france,1,7,1.4,1.4,no
france,1,1,1.4,1.4,yes
france,0.49,1,0.69,1.408,yes
france,1,30,1.4082265456831446,1.408,no
france,1,1,1.41,1.41,no
france,1,7,1.4107263127136034,1.411,no
france,0.5,7,0.72,1.44,no
france,1,1,1.4395204689205479,1.44,no
france,1,7,1.44,1.44,no
france,1,1,1.44,1.44,no
france,1,7,1.45,1.45,no
france,1,1,1.45,1.45,no
france,1,1,1.45,1.45,no
france,0.5,1,0.73,1.46,no
france,1,1,1.46,1.46,yes
france,1,7,1.47,1.47,no
france,1,1,1.47,1.47,no
france,1,1,1.4708143921579508,1.471,no
france,1,7,1.48,1.48,no
france,1,7,1.49,1.49,no
france,1,7,1.49,1.49,no
france,1,1,1.49,1.49,yes
france,1,7,1.49,1.49,no
france,1,1,1.49,1.49,yes
france,1,1,1.49,1.49,no
france,1,14,1.49,1.49,no
france,0.5,1,0.75,1.5,no
france,1,1,1.5,1.5,no
france,1,3,1.5,1.5,no
france,1,7,1.5,1.5,no
france,1,7,1.5,1.5,no
france,1,1,1.5,1.5,yes
